"Parking.space.num","Check.4.Car","Unoccupied","Occupied","Forward","Reverse","Date"
1,0,0,0,0,0,2018-08-04 10:10:00
2,0,0,0,0,0,2018-08-04 10:10:00
3,0,0,0,0,0,2018-08-04 10:10:00
4,1,0,1,1,0,2018-08-04 10:10:00
5,1,1,0,0,0,2018-08-04 10:10:00
6,0,0,0,0,0,2018-08-04 10:10:00
7,0,0,0,0,0,2018-08-04 10:10:00
8,1,1,0,0,0,2018-08-04 10:10:00
9,0,0,0,0,0,2018-08-04 10:10:00
10,0,0,0,0,0,2018-08-04 10:10:00
11,0,0,0,0,0,2018-08-04 10:10:00
12,0,0,0,0,0,2018-08-04 10:10:00
13,1,0,1,1,0,2018-08-04 10:10:00
14,1,0,1,1,0,2018-08-04 10:10:00
15,1,1,0,0,0,2018-08-04 10:10:00
16,1,0,1,1,0,2018-08-04 10:10:00
17,1,0,1,1,0,2018-08-04 10:10:00
18,1,0,1,1,0,2018-08-04 10:10:00
19,1,0,1,1,0,2018-08-04 10:10:00
20,1,0,1,1,0,2018-08-04 10:10:00
21,0,0,0,0,0,2018-08-04 10:10:00
22,0,0,0,0,0,2018-08-04 10:10:00
23,0,0,0,0,0,2018-08-04 10:10:00
24,0,0,0,0,0,2018-08-04 10:10:00
25,0,0,0,0,0,2018-08-04 10:10:00
26,0,0,0,0,0,2018-08-04 10:10:00
27,0,0,0,0,0,2018-08-04 10:10:00
28,1,0,1,1,0,2018-08-04 10:10:00
29,0,0,0,0,0,2018-08-04 10:10:00
30,1,1,0,0,0,2018-08-04 10:10:00
31,0,0,0,0,0,2018-08-04 10:10:00
32,1,1,0,0,0,2018-08-04 10:10:00
33,0,0,0,0,0,2018-08-04 10:10:00
34,1,1,0,0,0,2018-08-04 10:10:00
35,1,1,0,0,0,2018-08-04 10:10:00
36,1,1,0,0,0,2018-08-04 10:10:00
37,0,0,0,0,0,2018-08-04 10:10:00
38,1,1,0,0,0,2018-08-04 10:10:00
39,1,0,1,1,0,2018-08-04 10:10:00
40,1,0,1,1,0,2018-08-04 10:10:00
41,1,1,0,0,0,2018-08-04 10:10:00
42,0,0,0,0,0,2018-08-04 10:10:00
43,1,1,0,0,0,2018-08-04 10:10:00
44,0,0,0,0,0,2018-08-04 10:10:00
45,0,0,0,0,0,2018-08-04 10:10:00
46,1,0,1,1,0,2018-08-04 10:10:00
47,1,1,0,0,0,2018-08-04 10:10:00
48,0,0,0,0,0,2018-08-04 10:10:00
49,1,0,1,0,1,2018-08-04 10:10:00
50,0,0,0,0,0,2018-08-04 10:10:00
51,0,0,0,0,0,2018-08-04 10:10:00
52,0,0,0,0,0,2018-08-04 10:10:00
53,0,0,0,0,0,2018-08-04 10:10:00
54,0,0,0,0,0,2018-08-04 10:10:00
55,0,0,0,0,0,2018-08-04 10:10:00
56,0,0,0,0,0,2018-08-04 10:10:00
57,0,0,0,0,0,2018-08-04 10:10:00
58,1,0,1,1,0,2018-08-04 10:10:00
59,1,0,1,1,0,2018-08-04 10:10:00
60,0,0,0,0,0,2018-08-04 10:10:00
61,0,0,0,0,0,2018-08-04 10:10:00
62,0,0,0,0,0,2018-08-04 10:10:00
63,1,0,1,1,0,2018-08-04 10:10:00
64,0,0,0,0,0,2018-08-04 10:10:00
65,0,0,0,0,0,2018-08-04 10:10:00
66,1,0,1,1,0,2018-08-04 10:10:00
67,1,0,1,1,0,2018-08-04 10:10:00
68,1,0,1,0,1,2018-08-04 10:10:00
69,1,0,1,1,0,2018-08-04 10:10:00
70,0,0,0,0,0,2018-08-04 10:10:00
71,1,0,1,1,0,2018-08-04 10:10:00
72,0,0,0,0,0,2018-08-04 10:10:00
73,1,0,1,1,0,2018-08-04 10:10:00
74,1,0,1,1,0,2018-08-04 10:10:00
75,1,0,1,1,0,2018-08-04 10:10:00
76,0,0,0,0,0,2018-08-04 10:10:00
77,0,0,0,0,0,2018-08-04 10:10:00
78,1,0,1,0,1,2018-08-04 10:10:00
79,0,0,0,0,0,2018-08-04 10:10:00
80,1,0,1,1,0,2018-08-04 10:10:00
81,0,0,0,0,0,2018-08-04 10:10:00
82,1,0,1,1,0,2018-08-04 10:10:00
83,0,0,0,0,0,2018-08-04 10:10:00
84,0,0,0,0,0,2018-08-04 10:10:00
85,0,0,0,0,0,2018-08-04 10:10:00
86,1,0,1,1,0,2018-08-04 10:10:00
87,0,0,0,0,0,2018-08-04 10:10:00
88,0,0,0,0,0,2018-08-04 10:10:00
89,1,0,1,1,0,2018-08-04 10:10:00
90,0,0,0,0,0,2018-08-04 10:10:00
91,0,0,0,0,0,2018-08-04 10:10:00
92,0,0,0,0,0,2018-08-04 10:10:00
93,1,0,1,1,0,2018-08-04 10:10:00
94,1,0,1,1,0,2018-08-04 10:10:00
95,1,0,1,1,0,2018-08-04 10:10:00
96,1,0,1,1,0,2018-08-04 10:10:00
97,1,0,1,1,0,2018-08-04 10:10:00
98,1,0,1,1,0,2018-08-04 10:10:00
99,0,0,0,0,0,2018-08-04 10:10:00
100,0,0,0,0,0,2018-08-04 10:10:00
101,0,0,0,0,0,2018-08-04 10:10:00
102,0,0,0,0,0,2018-08-04 10:10:00
103,0,0,0,0,0,2018-08-04 10:10:00
104,0,0,0,0,0,2018-08-04 10:10:00
105,1,0,1,1,0,2018-08-04 10:10:00
106,1,0,1,1,0,2018-08-04 10:10:00
107,1,0,1,1,0,2018-08-04 10:10:00
108,0,0,0,0,0,2018-08-04 10:10:00
109,0,0,0,0,0,2018-08-04 10:10:00
110,0,0,0,0,0,2018-08-04 10:10:00
111,0,0,0,0,0,2018-08-04 10:10:00
112,0,0,0,0,0,2018-08-04 10:10:00
113,0,0,0,0,0,2018-08-04 10:10:00
114,0,0,0,0,0,2018-08-04 10:10:00
1,0,0,0,0,0,2018-08-04 15:30:00
2,0,0,0,0,0,2018-08-04 15:30:00
3,1,1,0,0,0,2018-08-04 15:30:00
4,0,0,0,0,0,2018-08-04 15:30:00
5,1,0,1,0,1,2018-08-04 15:30:00
6,0,0,0,0,0,2018-08-04 15:30:00
7,1,1,0,0,0,2018-08-04 15:30:00
8,0,0,0,0,0,2018-08-04 15:30:00
9,0,0,0,0,0,2018-08-04 15:30:00
10,1,0,1,1,0,2018-08-04 15:30:00
11,0,0,0,0,0,2018-08-04 15:30:00
12,0,0,0,0,0,2018-08-04 15:30:00
13,0,0,0,0,0,2018-08-04 15:30:00
14,1,1,0,0,0,2018-08-04 15:30:00
15,0,0,0,0,0,2018-08-04 15:30:00
16,0,0,0,0,0,2018-08-04 15:30:00
17,0,0,0,0,0,2018-08-04 15:30:00
18,0,0,0,0,0,2018-08-04 15:30:00
19,1,1,0,0,0,2018-08-04 15:30:00
20,0,0,0,0,0,2018-08-04 15:30:00
21,1,1,0,0,0,2018-08-04 15:30:00
22,1,1,0,0,0,2018-08-04 15:30:00
23,0,0,0,0,0,2018-08-04 15:30:00
24,1,1,0,0,0,2018-08-04 15:30:00
25,0,0,0,0,0,2018-08-04 15:30:00
26,1,0,1,1,0,2018-08-04 15:30:00
27,1,1,0,0,0,2018-08-04 15:30:00
28,1,1,0,0,0,2018-08-04 15:30:00
29,0,0,0,0,0,2018-08-04 15:30:00
30,1,1,0,0,0,2018-08-04 15:30:00
31,0,0,0,0,0,2018-08-04 15:30:00
32,1,1,0,0,0,2018-08-04 15:30:00
33,1,1,0,0,0,2018-08-04 15:30:00
34,1,0,1,1,0,2018-08-04 15:30:00
35,0,0,0,0,0,2018-08-04 15:30:00
36,1,1,0,0,0,2018-08-04 15:30:00
37,1,0,1,1,0,2018-08-04 15:30:00
38,1,1,0,0,0,2018-08-04 15:30:00
39,1,1,0,0,0,2018-08-04 15:30:00
40,0,0,0,0,0,2018-08-04 15:30:00
41,0,0,0,0,0,2018-08-04 15:30:00
42,0,0,0,0,0,2018-08-04 15:30:00
43,0,0,0,0,0,2018-08-04 15:30:00
44,0,0,0,0,0,2018-08-04 15:30:00
45,0,0,0,0,0,2018-08-04 15:30:00
46,1,0,1,1,0,2018-08-04 15:30:00
47,1,0,1,0,1,2018-08-04 15:30:00
48,0,0,0,0,0,2018-08-04 15:30:00
49,1,0,1,1,0,2018-08-04 15:30:00
50,0,0,0,0,0,2018-08-04 15:30:00
51,1,1,0,0,0,2018-08-04 15:30:00
52,0,0,0,0,0,2018-08-04 15:30:00
53,1,1,0,0,0,2018-08-04 15:30:00
54,0,0,0,0,0,2018-08-04 15:30:00
55,0,0,0,0,0,2018-08-04 15:30:00
56,0,0,0,0,0,2018-08-04 15:30:00
57,0,0,0,0,0,2018-08-04 15:30:00
58,0,0,0,0,0,2018-08-04 15:30:00
59,1,1,0,0,0,2018-08-04 15:30:00
60,0,0,0,0,0,2018-08-04 15:30:00
61,0,0,0,0,0,2018-08-04 15:30:00
62,0,0,0,0,0,2018-08-04 15:30:00
63,1,0,1,1,0,2018-08-04 15:30:00
64,0,0,0,0,0,2018-08-04 15:30:00
65,1,0,1,1,0,2018-08-04 15:30:00
66,1,0,1,1,0,2018-08-04 15:30:00
67,1,0,1,1,0,2018-08-04 15:30:00
68,0,0,0,0,0,2018-08-04 15:30:00
69,0,0,0,0,0,2018-08-04 15:30:00
70,1,0,1,1,0,2018-08-04 15:30:00
71,0,0,0,0,0,2018-08-04 15:30:00
72,1,0,1,1,0,2018-08-04 15:30:00
73,0,0,0,0,0,2018-08-04 15:30:00
74,1,0,1,1,0,2018-08-04 15:30:00
75,1,0,1,1,0,2018-08-04 15:30:00
76,1,0,1,1,0,2018-08-04 15:30:00
77,0,0,0,0,0,2018-08-04 15:30:00
78,0,0,0,0,0,2018-08-04 15:30:00
79,1,1,0,0,0,2018-08-04 15:30:00
80,1,0,1,1,0,2018-08-04 15:30:00
81,0,0,0,0,0,2018-08-04 15:30:00
82,0,0,0,0,0,2018-08-04 15:30:00
83,0,0,0,0,0,2018-08-04 15:30:00
84,0,0,0,0,0,2018-08-04 15:30:00
85,0,0,0,0,0,2018-08-04 15:30:00
86,0,0,0,0,0,2018-08-04 15:30:00
87,0,0,0,0,0,2018-08-04 15:30:00
88,1,0,1,1,0,2018-08-04 15:30:00
89,0,0,0,0,0,2018-08-04 15:30:00
90,0,0,0,0,0,2018-08-04 15:30:00
91,0,0,0,0,0,2018-08-04 15:30:00
92,1,0,1,1,0,2018-08-04 15:30:00
93,1,0,1,1,0,2018-08-04 15:30:00
94,0,0,0,0,0,2018-08-04 15:30:00
95,1,0,1,1,0,2018-08-04 15:30:00
96,0,0,0,0,0,2018-08-04 15:30:00
97,1,1,0,0,0,2018-08-04 15:30:00
98,0,0,0,0,0,2018-08-04 15:30:00
99,1,0,1,1,0,2018-08-04 15:30:00
100,0,0,0,0,0,2018-08-04 15:30:00
101,1,0,1,1,0,2018-08-04 15:30:00
102,1,0,1,1,0,2018-08-04 15:30:00
103,1,0,1,1,0,2018-08-04 15:30:00
104,1,1,0,0,0,2018-08-04 15:30:00
105,1,1,0,0,0,2018-08-04 15:30:00
106,0,0,0,0,0,2018-08-04 15:30:00
107,1,1,0,0,0,2018-08-04 15:30:00
108,1,0,1,1,0,2018-08-04 15:30:00
109,0,0,0,0,0,2018-08-04 15:30:00
110,0,0,0,0,0,2018-08-04 15:30:00
111,0,0,0,0,0,2018-08-04 15:30:00
112,0,0,0,0,0,2018-08-04 15:30:00
113,0,0,0,0,0,2018-08-04 15:30:00
114,0,0,0,0,0,2018-08-04 15:30:00
1,0,0,0,0,0,2018-08-05 10:30:00
2,0,0,0,0,0,2018-08-05 10:30:00
3,1,0,1,0,1,2018-08-05 10:30:00
4,1,0,1,0,1,2018-08-05 10:30:00
5,1,0,1,1,0,2018-08-05 10:30:00
6,0,0,0,0,0,2018-08-05 10:30:00
7,1,0,1,0,1,2018-08-05 10:30:00
8,1,0,1,0,1,2018-08-05 10:30:00
9,1,0,1,0,1,2018-08-05 10:30:00
10,0,0,0,0,0,2018-08-05 10:30:00
11,0,0,0,0,0,2018-08-05 10:30:00
